ADC,DAC
1.0393066406,1.087952137
1.0620117188,1.1247740984
1.0905761719,1.1678498983
1.1271972656,1.2160021067
1.1689453125,1.2677966356
1.2165527344,1.3216266632
1.2678222656,1.3758069277
1.3205566406,1.4286731482
1.3718261719,1.4786791801
1.4252929688,1.5244880915
1.4750976563,1.565048337
1.5197753906,1.5996525288
1.5600585938,1.6279751062
1.5959472656,1.6500852108
1.6215820313,1.6664351225
1.6442871094,1.6778244972
1.6640625,1.6853431463
1.6735839844,1.690294981
1.6823730469,1.6941094398
1.6875,1.6982449293
1.6918945313,1.7040902376
1.6970214844,1.7128703594
1.7036132813,1.7255644798
1.7109375,1.7428370714
1.7233886719,1.7649911642
1.7416992188,1.7919435501
1.763671875,1.8232247829
1.7900390625,1.8580044508
1.8208007813,1.8951376677
1.8544921875,1.9332342148
1.892578125,1.9707413912
1.9284667969,2.0060381889
1.9665527344,2.0375349522
2.0009765625,2.0637695789
2.0324707031,2.0834991932
2.0581054688,2.0957744122
2.0778808594,2.0999994278
